fps,frametime
121.919,8.20218
122.646,8.15358
123.47,8.09912
121.671,8.21888
122.213,8.18246
123.109,8.12288
121.816,8.20911
122.071,8.19193
121.438,8.23463
125.771,7.95097
118.94,8.40757
122.143,8.18716
131.28,7.61731
118.17,8.46241
123.652,8.0872
130.073,7.68798
131.176,7.62333
117.101,8.53964
122.33,8.17463
125.57,7.96367
131.005,7.63328
122.124,8.18837
124.193,8.05198
119.086,8.39728
127.059,7.87037
106.429,9.39597
118.608,8.43113
119.966,8.33572
129.24,7.73756
119.471,8.37021
122.671,8.15189
122.525,8.16162
122.38,8.17126
122.134,8.18772
122.835,8.14099
122.436,8.16751
121.815,8.20918
122.483,8.16441
123.171,8.11878
124.14,8.0554
124.338,8.04258
122.882,8.13789
122.954,8.13314
121.699,8.21697
122.26,8.17932
122.812,8.14252
121.379,8.23868
121.993,8.19717
120.756,8.28117
122.989,8.13079
109.634,9.12128
106.419,9.39684
120.983,8.26565
96.7628,10.3345
123.324,8.10872
125.242,7.98455
121.075,8.25935
121.655,8.21997
122.976,8.13168
130.134,7.68441
124.154,8.0545
125.245,7.98436
123.422,8.10229
122.252,8.17986
122.913,8.13583
123.89,8.07166
118.245,8.45699
123.998,8.06468
126.002,7.93638
129.544,7.71937
135.13,7.40026
121.956,8.1997
124.424,8.03705
136.864,7.3065
127.237,7.85934
122.154,8.18639
122.985,8.13107
121.72,8.21561
93.524,10.6924
127.056,7.87051
133.132,7.51133
110.285,9.06741
121.264,8.24649
118.904,8.41015
125.225,7.9856
132.153,7.56697
128.848,7.76108
125.37,7.97638
130.074,7.68793
120.54,8.29598
134.312,7.44536
121.982,8.19793
121.187,8.25173
127.211,7.86093
126.937,7.87789
127.013,7.87321
117.391,8.51858
128.649,7.77308
130.651,7.65396
129.231,7.73807
118.402,8.44582
128.519,7.78092
121.841,8.20745
117.162,8.53522
53.7238,18.6137
119.141,8.39341
117.56,8.50628
124.548,8.02903
133.568,7.48682
136.011,7.35232
117.695,8.49653
126.446,7.90849
126.291,7.91822
124.678,8.02068
107.061,9.34045
127.87,7.82043
123.109,8.12289
127.984,7.8135
121.73,8.21491
120.868,8.27351
130.875,7.64086
128.24,7.7979
117.295,8.52554
124.436,8.03628
127.746,7.82802
118.712,8.42378
