fps,frametime
113.699,8.79512
124.045,8.06161
144.989,6.89707
126.41,7.91078
128.466,7.78414
138.914,7.1987
117.381,8.51924
112.123,8.9188
107.837,9.27322
134.603,7.42924
120.183,8.32067
122.861,8.13925
126.317,7.91662
122.038,8.19417
116.868,8.55665
116.178,8.60751
125.621,7.96042
133.059,7.51545
125.764,7.95141
84.4497,11.8414
117.089,8.54051
120.133,8.32414
127.796,7.82494
123.684,8.0851
122.873,8.13847
130.233,7.67856
130.456,7.66541
122.029,8.19479
122.678,8.15143
124.117,8.05689
121.369,8.23932
122.673,8.15178
121.943,8.20058
122.075,8.19172
124.103,8.05783
122.602,8.15651
121.928,8.20157
122.016,8.19567
122.121,8.18857
125.15,7.9904
124.042,8.0618
122.751,8.14657
121.999,8.19681
122.441,8.16718
122.045,8.19373
122.151,8.18661
121.557,8.22659
120.202,8.31936
122.894,8.13711
122.784,8.14437
122.246,8.18024
121.075,8.25935
123.02,8.12878
121.2,8.2508
117.863,8.48445
118.478,8.4404
119.517,8.36698
123.976,8.06606
118.941,8.40752
121.556,8.22666
125.447,7.97152
124.422,8.03718
125.586,7.96265
123.798,8.07767
117.431,8.51565
41.4484,24.1264
130.688,7.65179
124.402,8.03846
109.429,9.13831
124.49,8.03279
116.602,8.57622
125.574,7.96345
119.399,8.37529
120.786,8.27913
122.363,8.17242
118.039,8.4718
121.893,8.20395
121.965,8.19908
135.923,7.3571
127.405,7.84902
122.756,8.14626
115.373,8.66752
127.184,7.8626
122.718,8.14878
125.073,7.99532
124.982,8.00115
127.52,7.84191
122.475,8.16494
125.867,7.94489
118.615,8.43066
128.551,7.77902
127.407,7.84887
116.515,8.58262
123.578,8.09204
109.129,9.16343
124.535,8.02985
128.861,7.76027
115.309,8.67233
120.419,8.30434
127.282,7.85655
114.856,8.70653
98.8165,10.1198
135.2,7.39647
118.828,8.41554
124.706,8.01888
121.403,8.23701
123.581,8.09187
45.8362,21.8168
128.21,7.79973
129.332,7.73205
131.067,7.62967
124.309,8.04445
126.229,7.9221
129.511,7.72135
121.439,8.23458
102.953,9.71313
123.367,8.10586
128.99,7.75255
127.705,7.83056
126.897,7.88043
120.048,8.33001
135.16,7.39866
118.826,8.41565
118.769,8.4197
72.7348,13.7486
133.227,7.506
125.323,7.97937
